"word","sentence","translation","word_translation"
"간직하다","나는 그 순간을 영원히 간직하려고 해.","I want to keep that moment forever.","to keep"
"간직하다","시간이 지나도 아름다운 추억을 간직하고 있을게.","I will keep the beautiful memories even as time passes.","to keep"
"간직하다","이 기억은 평생 간직할게.","I will keep this memory for a lifetime.","to keep"
"지식","저는 책에서 많은 지식을 얻었습니다." , "I gained a lot of knowledge from books.","knowledge"
"지식","오늘 강의에서 새로운 지식을 배웠어요." , "I learned new knowledge from the lecture today.","knowledge"
"지식","인터넷에는 많은 지식이 있는데 그 중에서 필요한 것을 찾기가 쉽지 않아요.","There is a lot of knowledge on the internet but it's not easy to find what you need among them.","knowledge"
"놓치다","나는 어제 경기를 놓쳤어.","I missed the game yesterday.","to lose"
"놓치다","그녀는 잠시 주의를 놓쳐서 불이 꺼졌다.","She lost her focus for a moment and the fire went out.","to lose"
"놓치다","어릴 때 배웠던 기회를 놓쳐서 후회하고 있다.","I regret losing the opportunity I learned when I was young.","to lose"
"늘리다","그의 생산성을 늘리기 위해서는 팀워크가 중요하다.","Teamwork is important to increase his productivity.","to expand"
"늘리다","지난해와 비교해 매출이 늘어났습니다.","Sales increased compared to last year.","to expand"
"늘리다","사업을 확장하고 싶다면 지속적인 마케팅이 필요합니다.","If you want to expand your business, you need continuous marketing.","to expand"
"보관하다","이 도시의 중심부에 위치한 박물관에서는 오랜 역사를 보존하고 있는 고대 유물들이 보관되어 있다.","The museum located in the heart of this city stores ancient artifacts that have been preserved for a long time.","to keep"
"보관하다","바닷속에는 매우 귀한 자원들이 보관되어 있다.","There are very valuable resources stored in the sea.","to storage"
"보관하다","모든 지문 정보는 안전하게 보관되고 있다.","All fingerprint information is being kept securely.","to storage"
"복용하다","의사의 지시대로 약을 복용하세요.","Take the medicine as directed by your doctor.","to storage"
"복용하다","하루 1정을 물과 함께 복용하십시오.","Take one tablet a day with water.","to take"
"복용하다","식후에 복용하십시오.","Take it after meals.","to take"
"상의하다","의견을 상의하다면서 결정을 내렸다.","We made a decision after discussing opinions.","to discuss"
"상의하다","우리는 미래를 위한 방안을 상의하고 있다.","We are discussing plans for the future.","to discuss"
"상의하다","부서 회의에서 다음 프로젝트 계획에 대해 상의하였다.","We discussed the next project plan at the department meeting.","to discuss"
"썩다","과일이 오래 놓여 있어서 썩어 버렸어요.","The fruit rotted because it had been left out for a long time.","to rot"
"썩다","비가 오면서 음식이 썩어 버렸어요.","The food rotted because of the rain.","to rot"
"썩다","어제 샀던 고기가 이미 썩어 버렸어요.","The meat I bought yesterday has already rotted.","to rot"
"책임지다","나는 이 일에 대해 책임을 져야 할 것 같아.","I think I should take responsability for this matter.","to take responsability"
"책임지다","당신은 그 사건에 대한 책임을 져야 합니다.","You need to take responsability for that incident.","to take responsability"
"책임지다","우리는 미래를 위해 지구 환경에 대한 책임을 져야 합니다.","We need to take responsability for the Earth's environment for the future.","to take responsability"
"문의","제품과 관련하여 문의드립니다.","I have an inquiry regarding the product.","inquiry"
"문의","지난 주 문의드린 내용에 대한 답변을 받지 못했습니다.","I have not received a response regarding the inquiry I made last week.","inquiry"
"문의","제품 구매에 대한 문의가 있어 연락드립니다.","I am contacting you with an inquiry about purchasing your product.","inquiry"
"사항","저희가 확인해야 할 사항이 있어서 연락을 드렸습니다.","We have some matters to confirm, so we contacted you.","matters"
"사항","사항을 확인해 보시고 다시 연락 부탁드립니다.","Please check the matters and contact us again.","matters"
"사항","변경사항이 있다면 꼭 알려주세요.","Please let us know if there are any changes.","matters"
"신청","신청서를 제출해주세요.","Please submit an application form.","application"
"신청","내일까지 신청해야 해요.","You have to apply by tomorrow.","application"
"신청","이 학교에는 신청자 수가 많습니다.","This school has a lot of applicants.","application"
"교환","제품 불량일 때만 교환 가능합니다.","Exchange is only possible if the product is defective.","exchange"
"교환","배송된 제품의 교환은 배송일로부터 일주일 이내에 해주시기 바랍니다.","Please exchange the delivered product within a week from the delivery date.","exchange"
"교환","물건을 구매한 후 교환은 15일 이내에 가능합니다.","Exchange is possible within 15 days after purchase.","exchange"
"모집","우리 회사에서 새로운 인재를 모집합니다.","We are recruiting new talent for our company.","recruitment"
"모집","여름방학때 아르바이트를 모집합니다.","We are recruiting for part-time jobs during the summer vacation.","recruitment"
"모집","우리는 신규 프로젝트를 위해 인력을 모집합니다.","We are recruiting personnel for our new project.","recruitment"
"재료","이 요리에 필요한 재료가 뭐에요?","What are the ingredients needed for this dish?","ingredients"
"재료","재료를 모두 준비해놨어요.","I have all the materials ready.","ingredents"
"재료","재료를 섞어주세요.","Please mix the ingredients.","ingredients"
"특징","이 공원의 가장 큰 특징은 새들의 노래소리입니다.","The biggest feature of this park is the sound of birds singing.","feature"
"특징","이 스마트폰의 특징은 화질이 매우 선명하다는 것입니다.","The feature of this smartphone is that the picture quality is very clear.","feature"
"특징","그녀는 키가 큰 것이 그녀의 가장 큰 특징 중 하나입니다.","Her height is one of her biggest features.","feature"
